,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
140,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10000,0.9079,0.10129538166202953,,0.027492738298398905,0.13292147231027973
141,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10000,0.9096,0.10024308158900656,,0.026718897503130574,0.12906295744362975
142,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10000,0.9125,0.10057332003827617,,0.027124894087525588,0.1311737646930507
143,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10000,0.9147,0.09964854350955107,,0.026883045862466683,0.12996708524941095
144,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10000,0.9102,0.10172299188163207,,0.02741816551022478,0.13260578706590764
145,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100000,0.9223,0.08697128972800419,,0.02312037135066263,0.11099022424613893
146,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100000,0.923,0.08680874818054324,,0.023125340761985323,0.11102085342791872
147,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100000,0.9244,0.08690617867787716,,0.02318305393525154,0.11118369089353855
148,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100000,0.9237,0.08702735715379048,,0.023126205426463684,0.11104592245839578
149,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100000,0.9235,0.08687343521189658,,0.023246270997999967,0.1115075176744841
150,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,10,0.1003,0.3085340870226866,,0.16764965707680984,0.8148285093207184
151,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,10,0.1003,0.29693740868689433,,0.16702974555093572,0.8127222287366631
152,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,10,0.2005,0.2860188965085133,,0.165226208949193,0.8121045713982372
153,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,10,0.0981,0.3156892549498468,,0.16895499283241527,0.8230262707193531
154,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,10,0.1015,0.29867052218549084,,0.16725640829727995,0.8151240012219166
155,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,25,0.3811,0.2620419578160877,,0.13569813511209122,0.6659180548101016
156,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,25,0.3095,0.2605676517038512,,0.1289353224311947,0.6305430424588531
157,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,25,0.1985,0.2630619533760513,,0.13331317805120807,0.6517873188223315
158,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,25,0.4532,0.2476941612756499,,0.12859969092958054,0.6294030386507232
159,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,25,0.3832,0.24792083188242833,,0.12609774675226026,0.6147762836959537
160,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,50,0.6783,0.18406449373196382,,0.08063809090721219,0.3917859915115333
161,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,50,0.6384,0.1990459897480101,,0.08640442642271341,0.42241556075489095
162,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,50,0.6342,0.18802849590059062,,0.08502345599964256,0.4157641805356636
163,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,50,0.6672,0.1854634895387641,,0.08112416469302855,0.39811810713909107
164,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,50,0.6279,0.18912299435208246,,0.08663967982315757,0.4226951538282449
165,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,100,0.8784,0.12734889224132667,,0.04053438794831833,0.19592579463487186
166,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,100,0.8739,0.12953219264081206,,0.04746306536773985,0.22871018802159387
167,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,100,0.872,0.1273397085756019,,0.04468048669739256,0.21680382987581456
168,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,100,0.8696,0.14055282559026455,,0.055188079741994536,0.265548851157578
169,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,100,0.866,0.1275982537490044,,0.04282045251497308,0.2077422391044892
170,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,250,0.8834,0.12434452280880004,,0.035750572384070346,0.17334874725229152
171,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,250,0.8849,0.11873706928837582,,0.03386797023498041,0.16345918250915575
172,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,250,0.8847,0.11950514709424713,,0.03537533645899034,0.16989264489869366
173,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,250,0.8806,0.12316416822460537,,0.03738454671612741,0.1808605239909044
174,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,250,0.8878,0.1218944158291212,,0.03560316575999795,0.17271018740129415
175,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,500,0.8864,0.11806499053671451,,0.03437732909609556,0.16621875568456854
176,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,500,0.8873,0.11642833911442392,,0.033482127935019854,0.16197272062531243
177,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,500,0.8886,0.11692465599045747,,0.03430442391967975,0.16550262870490895
178,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,500,0.8906,0.12017243016282235,,0.03571493968146881,0.1716243407782527
179,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,500,0.8872,0.11871884589123038,,0.03487591946924613,0.1679590830417547
180,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,1000,0.8892,0.11587058970944593,,0.03242533284414645,0.15650546962385303
181,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,1000,0.8873,0.11747432130787727,,0.033694638604217265,0.1624869097742168
182,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,1000,0.8904,0.11534843264445072,,0.032966303935921384,0.15900475197910324
183,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,7,1000,0.8941,0.11437314695383254,,0.032560007123332756,0.15725665575012154
