,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
113,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,3,0.1490445571730345,0.81154,9.974971294403076,configs/FGMRES.json
114,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,3,0.14685766729550925,0.81262,9.831767797470093,configs/FGMRES.json
115,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,4,0.12422342960218322,0.8639,8.530335426330566,configs/FGMRES.json
116,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,4,0.13039473489433853,0.84796,8.54008960723877,configs/FGMRES.json
117,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,4,0.12792218360166083,0.85476,8.464004278182983,configs/FGMRES.json
118,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,4,0.12310701798339545,0.86474,8.428338527679443,configs/FGMRES.json
119,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,4,0.12732326658263854,0.8603,8.498425245285034,configs/FGMRES.json
120,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,6,0.12145471621076558,0.86686,7.732896566390991,configs/FGMRES.json
121,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,6,0.11836563495349825,0.87332,7.678748607635498,configs/FGMRES.json
122,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,6,0.12000706145200202,0.87516,7.726916551589966,configs/FGMRES.json
123,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,6,0.11934250049146897,0.87528,7.716733694076538,configs/FGMRES.json
124,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,6,0.1201503769562011,0.87208,7.699621915817261,configs/FGMRES.json
125,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,8,0.11674327206391669,0.87796,7.552472352981567,configs/FGMRES.json
126,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,8,0.12022211092793003,0.8753,7.552977800369263,configs/FGMRES.json
127,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,8,0.11623294265396153,0.88054,7.5942161083221436,configs/FGMRES.json
128,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,8,0.11663338726195213,0.87948,7.5299341678619385,configs/FGMRES.json
129,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,8,0.11762481102133213,0.87862,7.509589195251465,configs/FGMRES.json
130,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,11,0.11519750065208405,0.88078,7.4487292766571045,configs/FGMRES.json
131,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,11,0.11531780205960114,0.88258,7.287060737609863,configs/FGMRES.json
132,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,11,0.11576542792007483,0.8791,7.407406568527222,configs/FGMRES.json
133,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,11,0.1164362240961198,0.87828,7.358415842056274,configs/FGMRES.json
134,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,11,0.11680484840946412,0.8761,7.278785943984985,configs/FGMRES.json
135,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,16,0.11136778031174124,0.88438,7.8304901123046875,configs/FGMRES.json
