,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
191,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10000,0.90818,0.10961959851435599
192,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10000,0.90856,0.1094265199967827
193,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10000,0.9079,0.11001277281222219
194,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10000,0.90724,0.11035516859072088
195,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100000,0.91806,0.09763438642360941
196,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100000,0.91756,0.09761396995864313
197,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100000,0.91682,0.09774952573427968
198,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100000,0.9168,0.0976298001959238
199,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100000,0.91758,0.09756165532352358
200,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10,0.10086,0.30123683293082204
201,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10,0.09952,0.3009283803779594
202,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10,0.1015,0.3130425900414515
203,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10,0.10086,0.31066231050379906
204,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10,0.10048,0.3072189303483043
205,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,25,0.25882,0.2796532103303436
206,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,25,0.296,0.27707860098702536
